email,vertical,company,city,phone,score_source_rank,email_sent,sent_at,send_status,send_attempts,last_error,last_subject,created_at,updated_at
saint-etienneigd@foncia.fr,immo,Foncia Saint-Étienne IGD,Saint-Étienne,,10,true,2026-08-25T07:40:55.392295+00:00,sent,3,,Recherche d'achat – résidence Le Portail Rouge (Saint-Étienne),2026-06-24T15:10:48.141303+00:00,2026-08-25T07:40:55.392325+00:00
saintetiennenord@guyhoquet.com,immo,Guy Hoquet Saint-Étienne Nord,Saint-Étienne,,10,true,2026-08-25T07:40:57.320006+00:00,sent,3,,Recherche d'achat – résidence Le Portail Rouge (Saint-Étienne),2026-06-24T15:10:48.141303+00:00,2026-08-25T07:40:57.320027+00:00
sylvie.boyer@kwfrance.com,immo,Keller Williams (Sylvie Boyer),Saint-Étienne,,10,true,2026-08-25T07:40:59.342621+00:00,sent,3,,Recherche d'achat – résidence Le Portail Rouge (Saint-Étienne),2026-06-24T15:10:48.141303+00:00,2026-08-25T07:40:59.342642+00:00
a.dieu@notaires.fr,notaires,Office notarial DIEU Alexandre à SAINT-ÉTIENNE (42000) | 1 allée de l’Electronique,Saint-Étienne,0477019566,6,true,2026-08-25T07:41:01.393664+00:00,sent,3,,Recherche d'achat – résidence Le Portail Rouge (Saint-Étienne),2026-06-24T15:10:48.141303+00:00,2026-08-25T07:41:01.393685+00:00
amelie.duperray@notaires.fr,notaires,"Office notarial VIAJURIS NOTAIRES, SELARL à SAINT-ÉTIENNE (42000) | 4 rue Chanoine Ploton",Saint-Étienne,0477574535,6,true,2026-08-25T07:41:03.502468+00:00,sent,3,,Recherche d'achat – résidence Le Portail Rouge (Saint-Étienne),2026-06-24T15:10:48.141303+00:00,2026-08-25T07:41:03.502489+00:00
etude.42004@notaires.fr,notaires,"Office notarial SCP Frédéric MALLON et Laura LANCRY, Notaires, Associés à SAINT-ÉTIENNE (42000) | 10 place de l'Hôtel de Ville",Saint-Étienne,0477254601,6,true,2026-08-25T07:41:05.755500+00:00,sent,3,,Recherche d'achat – résidence Le Portail Rouge (Saint-Étienne),2026-06-24T15:10:48.141303+00:00,2026-08-25T07:41:05.755523+00:00
etude.fraisse.42120@notaires.fr,notaires,"Office notarial FRAISSE, SELARL à SAINT-ÉTIENNE (42000) | 1 boulevard Dalgabio",Saint-Étienne,0634928826,6,true,2026-08-25T07:41:07.759179+00:00,sent,3,,Recherche d'achat – résidence Le Portail Rouge (Saint-Étienne),2026-06-24T15:10:48.141303+00:00,2026-08-25T07:41:07.759201+00:00
etude.notalex@notaires.fr,notaires,"Office notarial NOTALEX, SELARL à SAINT-ÉTIENNE (42000) | 8 allée de l’informatique",Saint-Étienne,0477331135,6,true,2026-08-25T07:41:09.688025+00:00,sent,3,,Recherche d'achat – résidence Le Portail Rouge (Saint-Étienne),2026-06-24T15:10:48.141303+00:00,2026-08-25T07:41:09.688047+00:00
etude@gononassocies.notaires.fr,notaires,Office notarial SELARL GONON & Associés à SAINT-ÉTIENNE (42000) | 5 rue Mi Carême,Saint-Étienne,0477324653,6,true,2026-08-25T07:41:11.666722+00:00,sent,3,,Recherche d'achat – résidence Le Portail Rouge (Saint-Étienne),2026-06-24T15:10:48.141303+00:00,2026-08-25T07:41:11.666744+00:00
guibert.associes@notaires.fr,notaires,"Office notarial SELARL GUIBERT & Associés, Notaires à SAINT-ÉTIENNE (42100) | 109 rue de la Montat",Saint-Étienne,0482771140,6,true,2026-08-25T07:41:13.846100+00:00,sent,3,,Recherche d'achat – résidence Le Portail Rouge (Saint-Étienne),2026-06-24T15:10:48.141303+00:00,2026-08-25T07:41:13.846119+00:00
helene.perrier@42100.notaires.fr,notaires,Office notarial PERRIER Hélène à SAINT-ÉTIENNE (42000) | 17 B rue de la Presse,Saint-Étienne,0477393000,6,true,2026-08-25T07:41:15.761840+00:00,sent,3,,Recherche d'achat – résidence Le Portail Rouge (Saint-Étienne),2026-06-24T15:10:48.141303+00:00,2026-08-25T07:41:15.761862+00:00
office.balayetassocies@bcda.notaires.fr,notaires,"Office notarial BALAY - COURTET - DURON, SARL à SAINT-ÉTIENNE (42000) | 8 place de l'Hôtel de Ville",Saint-Étienne,0477492280,6,true,2026-08-25T07:41:17.715876+00:00,sent,3,,Recherche d'achat – résidence Le Portail Rouge (Saint-Étienne),2026-06-24T15:10:48.141303+00:00,2026-08-25T07:41:17.715892+00:00
on2gf@notaires.fr,notaires,Office notarial SELARL ON2GF à SAINT-ÉTIENNE (42000) | 2 rue du Général Foy,Saint-Étienne,0477431520,6,true,2026-08-25T07:41:19.690082+00:00,sent,3,,Recherche d'achat – résidence Le Portail Rouge (Saint-Étienne),2026-06-24T15:10:48.141303+00:00,2026-08-25T07:41:19.690097+00:00
ondf@notaires.fr,notaires,"Office notarial ROSTAING-MUSSIO et associée, SELARL à SAINT-ÉTIENNE (42000) | 12 place de l'Hôtel de Ville",Saint-Étienne,0477494060,6,true,2026-08-25T07:41:21.775111+00:00,sent,3,,Recherche d'achat – résidence Le Portail Rouge (Saint-Étienne),2026-06-24T15:10:48.141303+00:00,2026-08-25T07:41:21.775133+00:00
scp-denieuil@notaires.fr,notaires,Office notarial SCP Guillaume DENIEUIL Sébastien DENIEUIL David DENIEUIL et Benjamin DENIEUIL NOTAIRES ASSOCIES à SAINT-ÉTIENNE (42000) | 3 place du Peuple,Saint-Étienne,0477492860,6,true,2026-08-25T07:41:23.728012+00:00,sent,3,,Recherche d'achat – résidence Le Portail Rouge (Saint-Étienne),2026-06-24T15:10:48.141303+00:00,2026-08-25T07:41:23.728035+00:00
